title,url,locale,nation,category,tags
Alixander Court,https://alixandercourt.com/feed/,en-us,,news,people
Al Jazeera – Breaking News,https://www.aljazeera.com/xml/rss/all.xml,en-us,qatar,news,"world,arab,government,united states,europe,asia,africa,america"
Alle Neuigkeiten von jotwewe.de,http://www.jotwewe.de/alles_de.xml,"de-de,en-us",germany,news,"computer,xmpp,people"
AlmaLinux,https://almalinux.org/blog/index.xml,en-us,,projects,"operating system,linux,industry"
Al-Mayadeen,https://www.almayadeen.net/feed/,ar-ar,lebanon,news,middle east
Alpha Delta Pi,https://www.alphadeltapi.org/feed/,en-us,,news,sorority
Alpine Linux,https://fosstodon.org/@alpinelinux.rss,en-us,,news,unix
AlternativeTo News,https://feed.alternativeto.net/news/all/,en-us,,news,technology
Altispeed Technologies,https://altispeed.com/rss.xml,en-us,columbia,corporations,"hosting,server,service,ict"
Altispeed Technologies,https://www.altispeed.com/rss.xml,en-us,columbia,corporations,"hardware,hosting,server"
Alþingi - Alþingi,https://www.althingi.is/rss.xml,is-is,iceland,legislatures,iceland
Alþingi - Jafnlaunavottun,https://www.althingi.is/um-althingi/skrifstofa-althingis/jafnlaunavottun/rss.xml,is-is,iceland,legislatures,iceland
AMAR Foundation,https://www.amarfoundation.org/feed/,en-us,,organizations,"asia,arab,nonsense"
American Dissident Voices,https://nationalvanguard.org/category/american-dissident-voices/feed/,en-us,,podcasts,"culture,usa,government"
Amethyst Reese,https://noswap.com/feed.xml,en-us,,news,"technology,people,computer"
Analog Revolution,https://analogrevolution.com/feed/,en-us,georgia,music,"store,rock"
Andrews & Arnold Ltd (AAISP),https://social.aa.net.uk/@aaisp.rss,en-gb,united kingdom,corporations,communication
Andriy Utkin,http://autkin.net/feed.xml,en-us,,news,computer
AndroidKino,https://androidkino.net/rss.xml,ru-ru,russia,catalogues,torrent
AngieTorrents,https://angietorrents.cc/rss.php?custom=1,en-us,,catalogues,torrent
AniDex Tracker,https://anidex.info/rss/,ja-jp,japan,catalogues,torrent
Animal and Plant Health Agency - Activity on GOV.UK,https://www.gov.uk/government/organisations/animal-and-plant-health-agency.atom,en-gb,united kingdom,governments,uk
Animals in Science Committee - Activity on GOV.UK,https://www.gov.uk/government/organisations/animals-in-science-committee.atom,en-gb,united kingdom,governments,uk
AniRena,https://www.anirena.com/rss.php,ja-jp,japan,catalogues,torrent
Anjan Momi,https://momi.ca/feed.xml,en-us,,news,"linux,unix,people"
Annalena's Heart(h)beat,https://www.annalenashearthbeat.com/feed/,en-us,,catalogues,recipe
Announcements published via Launchpad,http://feeds.launchpad.net/announcements.atom,en-us,,catalogues,software
// aNONradio //,https://anonradio.net/feed/,en-us,,music,"electronic,technology"
// aNONradio //,https://anonradio.net/feed/,en-us,,podcasts,"electronic,technology"
An RSS Blog,https://www.rss-specifications.com/blog-feed.xml,en-us,,news,internet
anti software software club,https://antisoftware.club/feed.xml,en-us,,organizations,"software,cohost,cryptocurrency"
Aphrodite.dev,https://www.aphrodite.dev/~blog/feed.xml,en-us,,news,"computer,people"
AppDividend,https://appdividend.com/feed/,en-us,,tutorials,python
Apple,http://feeds.fosketts.net/StephenFoskettPackRat_Apple,en-us,,news,computer
AP U.S. News,https://apnews.com/us-news.rss,en-us,,news,"government,united states"
Arcadian Wellness,https://arcadianwellness.com/feed/,en-us,,news,health
Architects Registration Board - Activity on GOV.UK,https://www.gov.uk/government/organisations/architects-registration-board.atom,en-gb,united kingdom,governments,uk
archives.anonradio.net,http://triapul.cz/feed/anonradio.xml,en-us,czech,catalogues,"music,electronic"
archives.anonradio.net - no voip,http://triapul.cz/feed/anonradio_novoip.xml,en-us,czech,catalogues,music
archives.anonradio.net - no voip,http://triapul.cz/feed/anonradio_novoip.xml,en-us,,music,electronic
Archiveteam,https://wiki.archiveteam.org/index.php?title=Special:RecentChanges&feed=atom,en-us,,wiki,"computer,data"
Arch Linux ARM,https://archlinuxarm.org/forum/feed.php,en-us,,forums,"linux,operating system,computer"
Arch Linux: AUR Newest Packages,https://aur.archlinux.org/rss/,en-us,,catalogues,"software,package,archlinux,linux"
Archlinux.fr [Forums],https://forums.archlinux.fr/app.php/feed,fr-fr,france,forums,linux
Archlinux.fr,https://archlinux.fr/feed,fr-fr,france,projects,linux
Arch Linux,https://bbs.archlinux.org/extern.php?action=feed&type=atom,en-us,,forums,"linux,operating system,computer"
Arch Linux: Recent news updates,https://archlinux.org/feeds/news/,en-us,,news,"archlinux,linux"
Arch Linux: Recent package updates,https://archlinux.org/feeds/packages/,en-us,,catalogues,"software,package,archlinux,linux"
ArchWiki,https://wiki.archlinux.org/index.php?title=Special:RecentChanges&feed=atom,en-us,,wiki,"linux,operating system,computer"
Armageddon Prose,https://armageddonprose.substack.com/feed,en-us,,news,"government,europe,united states,propaganda,freedom,industry,health"
Armed Forces Covenant Fund Trust - Activity on GOV.UK,https://www.gov.uk/government/organisations/armed-forces-covenant-fund-trust.atom,en-gb,united kingdom,governments,uk
Armed Forces' Pay Review Body - Activity on GOV.UK,https://www.gov.uk/government/organisations/armed-forces-pay-review-body.atom,en-gb,united kingdom,governments,uk
Armin Ronacher's Thoughts and Writings,https://lucumr.pocoo.org/feed.atom,en-us,,news,"people,python,code,software,game"
AROS Research Operating System,https://sourceforge.net/p/aros/activity/feed,en-us,,activity,"linux,operating system,computer"
Articles on Rafael Mardojai CM,https://mardojai.com/article/index.xml,"en-us,es-pe",peru,news,"code,gnome,linux,electronics,diy,computer,technology"
Artix Linux Forum,https://forum.artixlinux.org/index.php?action=.xml;type=atom;limit=30,en-us,,forums,"linux,operating system,computer"
Artix Linux,https://artixlinux.org/feed.php,en-us,,projects,operating_system
Arts and Humanities Research Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/arts-and-humanities-research-council.atom,en-gb,united kingdom,governments,uk
Arts Council England - Activity on GOV.UK,https://www.gov.uk/government/organisations/arts-council-england.atom,en-gb,united kingdom,governments,uk
Arts Council of Northern Ireland - Activity on GOV.UK,https://www.gov.uk/government/organisations/arts-council-of-northern-ireland.atom,en-gb,united kingdom,governments,ireland
Arts Council of Northern Ireland - Activity on GOV.UK,https://www.gov.uk/government/organisations/arts-council-of-northern-ireland.atom,en-gb,united kingdom,governments,uk
Arts Council of Wales - Activity on GOV.UK,https://www.gov.uk/government/organisations/arts-council-of-wales.atom,en-gb,united kingdom,governments,uk
Asahi Linux,https://asahilinux.org/blog/index.xml,en-us,,projects,"linux,operating system,apple"
Ask Anna,https://askannamoseley.com/feed/,en-us,,catalogues,recipe
Askbot,https://askbot.org/en/feeds/rss/,en-us,chile,projects,forums
AskPython,https://www.askpython.com/feed,en-us,,tutorials,python
Associated Press News,https://apnews.com/index.rss,en-us,,news,general
ASUSTOR News Release,https://www.asustor.com/news/rss?lan=en,en-us,taiwan,corporations,"store,software,computer"
A Sweet Pea Chef,https://www.asweetpeachef.com/feed/,en-us,,catalogues,recipe
A sysadmin's (mis)adventures,https://blog.woodpeckersnest.space/feed/,"en-us,it-it",italy,news,"people,computer,technology,xmpp,internet"
Atomic Weapons Establishment - Activity on GOV.UK,https://www.gov.uk/government/organisations/atomic-weapons-establishment.atom,en-gb,united kingdom,governments,uk
Attorney General's Office - Activity on GOV.UK,https://www.gov.uk/government/organisations/attorney-generals-office.atom,en-gb,united kingdom,governments,uk
AudioBook Bay (ABB),https://audiobookbay.is/feed/atom/,en-us,,catalogues,"audiobook,torrent"
AudioBook Bay (ABB),https://theaudiobookbay.net/feed/atom/,en-us,,catalogues,"audio,audiobook,book"
Automation Rhapsody,https://automationrhapsody.com/feed/,en-us,,news,technology
AV-98,https://tildegit.org/solderpunk/AV-98.atom,en-us,,activity,gemini
Avvocato a Roma | Studio Legale Sabatino | Famiglia e civile,https://www.studiosabatino.it/feed/,it-it,italy,news,law
a walkaway story,http://xj-ix.luxe/feed.atom,en-us,,news,people
Bacardi55 gemlog,http://bacardi55.io/gemlog/index.xml,en-us,,news,"people,gemini,internet,decentralization,lifestyle,computer,software"
Bacardi55 posts,http://bacardi55.io/posts/index.xml,en-us,,news,"people,gemini,internet,decentralization,lifestyle,computer,software"
Bacardi55's cave,http://bacardi55.io/index.xml,en-us,,news,"people,gemini,internet,decentralization,lifestyle,computer,software"
BairesDev,https://www.bairesdev.com/feed/,en-us,,corporations,"computing,business"
Bangumi Moe,https://bangumi.moe/rss/latest,en-us,,catalogues,torrent
Bank of England - Activity on GOV.UK,https://www.gov.uk/government/organisations/bank-of-england.atom,en-gb,united kingdom,governments,uk
BaoFeng Radios,https://baofengtech.com/feed/,en-us,south dakota,catalogues,"electronics,radio"
Based Cooking,https://based.cooking/index.xml,en-us,,catalogues,recipe
Bastyon Video Server,https://peertube35.pocketnet.app/feeds/videos.xml,en-us,,videos,general
BBC - Activity on GOV.UK,https://www.gov.uk/government/organisations/bbc.atom,en-gb,united kingdom,governments,uk
BBC World Service - Activity on GOV.UK,https://www.gov.uk/government/organisations/bbc-world-service.atom,en-gb,united kingdom,governments,uk
BDVA,https://www.bdva.eu/rss.xml,en-us,belgium,organizations,"digital,data"
Beeper,https://blog.beeper.com/feed,en-us,,corporations,"chat,service"
Befox,https://www.befox.fr/rss.xml,fr-fr,france,corporations,"software,food,agriculture"
Behance Featured Projects,https://www.behance.net/feeds/projects,en-us,,news,"art,design"
Behind The Woodshed with Hal Anthony,https://www.reallibertymedia.com/feed/behind-the-woodshed/,en-us,,podcasts,government
Berkeley Lab News Center,https://newscenter.lbl.gov/feed/,en-us,california,governments,"physics,biology"
Berlin XMPP Meetup,https://mov.im/feed/pubsub.movim.eu/berlin-xmpp-meetup,en-us,germany,events,xmpp
Berlin XMPP Meetup,https://mov.im/feed/pubsub.movim.eu/berlin-xmpp-meetup,en-us,germany,news,xmpp
biboumi,https://codeberg.org/poezio/biboumi.atom,en-us,france,activity,"internet,xmpp,chat,irc"
Big Mess o' Wires,https://www.bigmessowires.com/feed/atom/,en-us,,news,electronics
Big Tech is Evil – Simplified Privacy,https://simplifiedprivacy.com/category/big-tech-is-evil/feed/,en-us,cambodia,news,"privacy,surveillance,computer,industry"
Biometrics and Forensics Ethics Group - Activity on GOV.UK,https://www.gov.uk/government/organisations/biometrics-and-forensics-ethics-group.atom,en-gb,united kingdom,governments,uk
Biometrics and Surveillance Camera Commissioner - Activity on GOV.UK,https://www.gov.uk/government/organisations/biometrics-and-surveillance-camera-commissioner.atom,en-gb,united kingdom,governments,uk
Biotechnology and Biological Sciences Research Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/biotechnology-biological-sciences-research-council.atom,en-gb,united kingdom,governments,uk
Bisq,https://bisq.network/blog/feed.atom,en-us,,projects,"exchange,cryptocurrency,blockchain,finance,p2p"
Bits about Money,https://www.bitsaboutmoney.com/archive/rss/,en-us,,news,"money,banking,cryptocurrency"
bkardell.com,https://bkardell.com/blog/feed.rss,en-us,,news,"people,internet,computer,technology"
blabber.im,https://kanoa.de/@blabber.rss,en-us,,projects,"internet,chat,xmpp"
BlackListed News,https://www.blacklistednews.com/rss.php,en-us,,news,"government,usa"
Blender Developer Forum - Latest posts,https://devtalk.blender.org/posts.rss,en-us,,forums,graphics
Blender Developer,https://code.blender.org/feed/,en-us,,projects,graphics
Blender 🔶,https://mastodon.social/@Blender.rss,en-us,,projects,graphics
Blender Meetings,https://devtalk.blender.org/c/meetings/28.rss,en-us,,events,graphics
blender.org,https://www.blender.org/feed/,en-us,,projects,graphics
Blender Video,https://video.blender.org/feeds/videos.xml,en-us,,videos,"graphics,design,technology"
bliper,https://git.2f30.org/bliper/atom.xml,en-us,,projects,"website,publishing,internet"
Blog de Stéphane Bortzmeyer,https://www.bortzmeyer.org/feed.atom,fr-fr,france,news,"cybersecurity,internet,computer,people"
Blogo,https://blogo.site/atom,en-us,,projects,"website,publishing,internet"
Blog on Bart Ribbers - PureTryOut,https://fam-ribbers.com/blog/index.xml,en-us,netherlands,news,people
Blogs on DB Browser for SQLite,https://sqlitebrowser.org/blog/index.xml,en-us,,news,database
blogTO,http://www.blogto.com/rss/articles.xml,en-us,canada,news,canada
Blowfish,https://blowfish.page/index.xml,en-us,,projects,theme
Board of Trustees of the Royal Botanic Gardens Kew - Activity on GOV.UK,https://www.gov.uk/government/organisations/board-of-trustees-of-the-royal-botanic-gardens-kew.atom,en-gb,united kingdom,governments,uk
Boing Boing,https://boingboing.net/feed,en-us,,news,"culture,united states,europe,world"
Bon Appétit,https://www.bonappetit.com/feed/rss,en-us,,catalogues,recipe
Bona Vacantia - Activity on GOV.UK,https://www.gov.uk/government/organisations/bona-vacantia.atom,en-gb,united kingdom,governments,uk
Border Force - Activity on GOV.UK,https://www.gov.uk/government/organisations/border-force.atom,en-gb,united kingdom,governments,uk
Boundary Commission for England - Activity on GOV.UK,https://www.gov.uk/government/organisations/boundary-commission-for-england.atom,en-gb,united kingdom,governments,uk
Boundary Commission for Northern Ireland - Activity on GOV.UK,https://www.gov.uk/government/organisations/boundary-commission-for-northern-ireland.atom,en-gb,united kingdom,governments,ireland
Boundary Commission for Northern Ireland - Activity on GOV.UK,https://www.gov.uk/government/organisations/boundary-commission-for-northern-ireland.atom,en-gb,united kingdom,governments,uk
Boundary Commission for Scotland - Activity on GOV.UK,https://www.gov.uk/government/organisations/boundary-commission-for-scotland.atom,en-gb,united kingdom,governments,uk
Boundary Commission for Wales - Activity on GOV.UK,https://www.gov.uk/government/organisations/boundary-commission-for-wales.atom,en-gb,united kingdom,governments,uk
Breaking updates in pmOS edge,https://postmarketos.org/edge/feed.atom,en-us,germany,projects,"linux,pda,mobile,postmarketos"
Briar,https://briarproject.org/news/index.xml,en-us,,projects,"internet,p2p,voip,chat"
briar,https://code.briarproject.org/briar.atom,en-us,,activity,"internet,chat,p2p"
British Business Bank - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-business-bank.atom,en-gb,united kingdom,governments,uk
British Cattle Movement Service - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-cattle-movement-service.atom,en-gb,united kingdom,governments,uk
British Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-council.atom,en-gb,united kingdom,governments,uk
British Film Institute - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-film-institute.atom,en-gb,united kingdom,governments,uk
British Hallmarking Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-hallmarking-council.atom,en-gb,united kingdom,governments,uk
British Library - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-library.atom,en-gb,united kingdom,governments,uk
British Museum - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-museum.atom,en-gb,united kingdom,governments,uk
British Pharmacopoeia Commission - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-pharmacopoeia.atom,en-gb,united kingdom,governments,uk
British Technology Investments Ltd - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-technology-investments-ltd.atom,en-gb,united kingdom,governments,uk
British Transport Police Authority - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-transport-police-authority.atom,en-gb,united kingdom,governments,uk
British Wool - Activity on GOV.UK,https://www.gov.uk/government/organisations/british-wool.atom,en-gb,united kingdom,governments,uk
BrixIT Blog,https://blog.brixit.nl/rss/,en-us,,news,"pda,linux,megapixels"
Broads Authority - Activity on GOV.UK,https://www.gov.uk/government/organisations/broads-authority.atom,en-gb,united kingdom,governments,uk
Bromite,https://www.bromite.org/feed.xml,en-us,,projects,"chrome,google,browser,web,internet"
Bruno.im updates,http://bruno.im/atom/latest/,en-us,switzerland,news,"code,python,django"
Bruno Renié (@brutasse) on Speaker Deck,https://speakerdeck.com/brutasse.atom,en-us,switzerland,news,"code,software,python"
Brussels energy club,https://www.brusselsenergyclub.org/blog-feed.xml,en-us,belgium,organizations,"energy,government,regulation,nonsense"
Building Digital UK - Activity on GOV.UK,https://www.gov.uk/government/organisations/building-digital-uk.atom,en-gb,united kingdom,governments,uk
build.postmarketos.org,https://gitlab.com/postmarketOS/build.postmarketos.org.atom,en-us,germany,activity,"build,postmarketos,linux"
Business Writing Info Blog,https://www.instructionalsolutions.com/blog/rss.xml,en-us,,news,"business,grammar,english"
buzz,https://git.2f30.org/buzz/atom.xml,en-us,,projects,"chat,terminal"
Cabal,https://mastodon.social/@cabal.rss,en-us,,projects,"chat,internet,p2p"
Cabinet Office - Activity on GOV.UK,https://www.gov.uk/government/organisations/cabinet-office.atom,en-gb,united kingdom,governments,uk
Cabinet Office Board - Activity on GOV.UK,https://www.gov.uk/government/organisations/cabinet-office-board.atom,en-gb,united kingdom,governments,uk
Cacti,http://forums.cacti.net/app.php/feed,en-us,,forums,computer
Cafcass - Activity on GOV.UK,https://www.gov.uk/government/organisations/children-and-family-court-advisory-and-support-service.atom,en-gb,united kingdom,governments,uk
calckey,https://codeberg.org/calckey/calckey.atom,en-us,,activity,"fediverse,publishing,internet"
Caleb Herbert's Personal Site,https://bluehome.net/csh/feed.xml,en-us,israel,news,people
Camen Design Forum,https://forum.camendesign.com/index.xml,en-us,,forums,"code,php,xslt,xml,computer"
camen design,https://camendesign.com/rss,en-us,,projects,"forums,computer,code"
Campaign for Liberty,https://campaignforliberty.org/feed/,en-us,,news,general
Canonical job roles,https://canonical.com/careers/feed,en-us,,catalogues,"ubuntu,job,vacancy"
Cap Digital,https://www.capdigital.com/en/feed/,en-us,france,organizations,"technology,software"
Cap Digital,https://www.capdigital.com/feed/,fr-fr,france,organizations,"technology,software"
Cap'n Proto,https://capnproto.org/feed.xml,en-us,,projects,"data,format,protocol"
Careers Wales - Activity on GOV.UK,https://www.gov.uk/government/organisations/careers-wales.atom,en-gb,united kingdom,governments,uk
Care Quality Commission - Activity on GOV.UK,https://www.gov.uk/government/organisations/care-quality-commission.atom,en-gb,united kingdom,governments,uk
castor,https://git.sr.ht/~julienxx/castor/log/master/rss.xml,en-us,,activity,"gemini,internet"
catpoint,https://git.2f30.org/catpoint/atom.xml,en-us,,projects,office
CATW,https://catwinternational.org/feed/,en-us,,organizations,"phony,front,human trafficking,pedophilia,anti-encryption,anti-freedom,controlled opposition"
cblgh.org - events,https://cblgh.org/events.xml,en-us,,events,"internet,computing"
cblgh.org (projects),https://cblgh.org/projects.xml,en-us,,catalogues,software
cblgh.org (wikis),https://cblgh.org/wikis.xml,en-us,,catalogues,software
Central Advisory Committee on Compensation - Activity on GOV.UK,https://www.gov.uk/government/organisations/central-advisory-committee-on-compensation.atom,en-gb,united kingdom,governments,uk
Central Arbitration Committee - Activity on GOV.UK,https://www.gov.uk/government/organisations/central-arbitration-committee.atom,en-gb,united kingdom,governments,uk
Central Digital and Data Office - Activity on GOV.UK,https://www.gov.uk/government/organisations/central-digital-and-data-office.atom,en-gb,united kingdom,governments,uk
Centre for Connected and Autonomous Vehicles - Activity on GOV.UK,https://www.gov.uk/government/organisations/centre-for-connected-and-autonomous-vehicles.atom,en-gb,united kingdom,governments,uk
Centre for Data Ethics and Innovation - Activity on GOV.UK,https://www.gov.uk/government/organisations/centre-for-data-ethics-and-innovation.atom,en-gb,united kingdom,governments,uk
"Centre for Environment, Fisheries and Aquaculture Science - Activity on GOV.UK",https://www.gov.uk/government/organisations/centre-for-environment-fisheries-and-aquaculture-science.atom,en-gb,united kingdom,governments,uk
Centro de Autonomía Digital,https://autonomia.digital/en/feed.xml,en-us,,organizations,"digital,technology,privacy,sovereignty"
Centro de Autonomía Digital,https://autonomia.digital/feed.xml,es-es,,organizations,"digital,technology,privacy,sovereignty"
Centro de Autonomía Digital,https://video.hardlimit.com/feeds/videos.xml?accountId=96528,"es-es,en-us",,videos,"digital,technology,privacy,sovereignty"
Certification Officer - Activity on GOV.UK,https://www.gov.uk/government/organisations/certification-officer.atom,en-gb,united kingdom,governments,uk
Chabad -- Daily Quote,https://www.chabad.org/tools/rss/dailyquote_rss.xml,en-us,,catalogues,quotes
Chabad Daily Study,https://www.chabad.org/tools/rss/dailystudy_rss.xml,en-us,,news,judaism
Chabad - Daily Torah Study,https://www.chabad.org/tools/rss/dailystudy_podcast.xml,en-us,,podcasts,judaism
Chabad-Lubavitch in the Media,https://www.chabad.org/tools/rss/inthemedia_rss.xml,en-us,,news,judaism
Chabad Lubavitch News,https://www.chabad.org/tools/rss/news_rss.xml,en-us,,news,judaism
Chabad Omer Counter,https://www.chabad.org/tools/rss/omer_rss.xml,en-us,,news,judaism
Chabad Parsha,https://www.chabad.org/tools/rss/parsha_rss.xml,en-us,,news,judaism
Chabad Weekly Magazine,https://www.chabad.org/tools/rss/magazine_rss.xml,en-us,,news,judaism
Channel 4 - Activity on GOV.UK,https://www.gov.uk/government/organisations/channel-4.atom,en-gb,united kingdom,governments,uk
ChaoticWiki,https://wiki.chaotic.ninja/.rss_full,en-us,,wiki,computer
cheogram-muc-bridge,https://git.singpolyma.net/cheogram-muc-bridge/log/master/rss.xml,en-us,,activity,"internet,xmpp,chat"
Chevening Scholarship Programme - Activity on GOV.UK,https://www.gov.uk/government/organisations/chevening-foundation.atom,en-gb,united kingdom,governments,uk
Child Safeguarding Practice Review Panel - Activity on GOV.UK,https://www.gov.uk/government/organisations/child-safeguarding-practice-review-panel.atom,en-gb,united kingdom,governments,uk
Chiportal,https://chiportal.co.il/feed/,he-il,israel,news,"5g,computer,technology"
Christof Meerwald,http://cmeerw.org/blog.rdf,en-us,austria,news,people
Christof Meerwald,https://cmeerw.org/blog.atom,en-us,austria,news,"computer,linux,xmpp,people"
Christogenea,http://christogenea.org/allaudio,en-us,,podcasts,christianity
Christogenea.org | Christianity for the Thinking Man,https://christogenea.org/rss.xml,en-us,,news,christianity
Christogenea Podcast,http://christogenea.org/podcasts/feed,en-us,,podcasts,christianity
Chris Were,https://share.tube/feeds/videos.xml?accountId=108,en-gb,united kingdom,videos,"lifestyle,people,computer,linux,game"
Chris Were,https://toot.wales/@ChrisWere.rss,en-gb,united kingdom,news,people
Chris Were - Linux • tech • open source,https://share.tube/feeds/videos.xml?videoChannelId=115,en-gb,united kingdom,videos,"technology,industry,linux,software,open source"
Churches Conservation Trust - Activity on GOV.UK,https://www.gov.uk/government/organisations/churches-conservation-trust.atom,en-gb,united kingdom,governments,uk
Circuit Cellar,https://circuitcellar.com/feed/,en-us,virginia,corporations,"website,publishing,internet"
Circuit Cellar,https://circuitcellar.com/feed/,en-us,virginia,news,"computer,hardware"
Civil Aviation Authority - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-aviation-authority.atom,en-gb,united kingdom,governments,uk
Civil Justice Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-justice-council.atom,en-gb,united kingdom,governments,uk
